index,number_of_siblings,direct_admission,CCA,learning_style,gender,tuition,final_test,n_male,age,hours_per_week,attendance_rate,sleep_duration
3587,1,No,Sports,Visual,Male,No,79.0,18.0,16.0,9.0,94.0,8.0
3588,0,No,Arts,Visual,Female,Yes,88.0,14.0,15.0,6.0,100.0,8.0
3590,0,No,Sports,Visual,Male,Yes,75.0,14.0,16.0,16.0,94.0,8.0
3591,2,Yes,Sports,Visual,Female,No,81.0,1.0,16.0,5.0,93.0,8.0
3592,0,No,Clubs,Auditory,Male,No,58.0,14.0,15.0,17.0,93.0,8.0
3593,2,No,Clubs,Auditory,Male,Yes,54.0,16.0,16.0,7.0,94.0,8.0
3594,1,Yes,Sports,Visual,Male,No,100.0,15.0,16.0,9.0,99.0,8.0
3596,1,Yes,None,Auditory,Female,Yes,75.0,0.0,15.0,9.0,95.0,8.0
3597,0,No,Sports,Auditory,Female,No,61.0,5.0,16.0,7.0,96.0,8.0
3598,0,No,Clubs,Auditory,Male,No,56.0,21.0,16.0,19.0,98.0,8.0
3599,0,Yes,Arts,Visual,Male,No,79.0,15.0,15.0,5.0,98.0,8.0
3600,1,No,Sports,Visual,Male,No,53.0,24.0,15.0,15.0,91.0,8.0
3601,0,No,None,Visual,Female,Yes,90.0,17.0,15.0,5.0,95.0,8.0
3602,1,No,Arts,Auditory,Male,Yes,51.0,12.0,15.0,8.0,92.0,8.0
3603,2,No,Arts,Auditory,Female,No,45.0,20.0,16.0,11.0,47.0,4.0
3604,2,Yes,None,Visual,Female,Yes,83.0,3.0,16.0,8.0,96.0,8.0
3605,1,Yes,Clubs,Visual,Female,No,49.0,18.0,16.0,13.0,91.0,8.0
3606,1,No,Clubs,Visual,Male,Yes,61.0,22.0,16.0,10.0,91.0,8.0
3607,1,Yes,Sports,Auditory,Female,Yes,44.0,7.0,16.0,12.0,64.0,6.0
3608,1,No,Clubs,Auditory,Female,Yes,67.0,18.0,15.0,9.0,96.0,8.0
3609,2,No,None,Visual,Male,No,61.0,18.0,16.0,6.0,99.0,8.0
3610,0,Yes,None,Visual,Female,No,75.0,7.0,15.0,7.0,92.0,7.0
3611,0,No,Sports,Visual,Male,Yes,78.0,17.0,16.0,9.0,94.0,8.0
3612,0,Yes,None,Visual,Female,No,82.0,9.0,15.0,7.0,91.0,8.0
3613,1,Yes,None,Visual,Male,Yes,91.0,10.0,16.0,8.0,92.0,8.0
3614,2,No,Arts,Visual,Male,No,69.0,23.0,16.0,5.0,95.0,8.0
3615,1,No,Clubs,Auditory,Male,No,48.0,21.0,15.0,13.0,54.0,4.0
3616,0,No,None,Visual,Female,Yes,82.0,15.0,15.0,7.0,91.0,8.0
3617,1,No,Clubs,Auditory,Male,Yes,56.0,13.0,16.0,16.0,90.0,8.0
3618,0,No,Sports,Auditory,Female,Yes,68.0,3.0,15.0,13.0,90.0,8.0
3619,0,No,None,Visual,Female,Yes,89.0,7.0,16.0,7.0,97.0,8.0
3620,0,No,Clubs,Visual,Male,Yes,94.0,14.0,16.0,10.0,95.0,8.0
3621,1,Yes,None,Visual,Male,No,88.0,15.0,16.0,6.0,93.0,8.0
3622,0,No,None,Auditory,Female,Yes,93.0,5.0,15.0,9.0,93.0,8.0
3623,1,No,Sports,Auditory,Male,Yes,61.0,24.0,16.0,18.0,93.0,8.0
3624,2,No,Sports,Visual,Female,No,77.0,21.0,16.0,6.0,95.0,8.0
3625,0,No,Clubs,Visual,Female,No,59.0,8.0,16.0,9.0,91.0,8.0
3626,1,No,Clubs,Visual,Female,No,47.0,23.0,15.0,4.0,99.0,8.0
3627,1,No,Arts,Auditory,Male,No,58.0,21.0,15.0,5.0,92.0,8.0
3628,1,No,Arts,Visual,Male,Yes,70.0,14.0,15.0,6.0,99.0,8.0
3629,0,No,Sports,Visual,Male,No,96.0,18.0,16.0,8.0,99.0,8.0
3630,2,No,CLUBS,Visual,Male,Yes,77.0,10.0,16.0,6.0,98.0,8.0
3631,1,Yes,Arts,Auditory,Male,Yes,77.0,13.0,15.0,9.0,100.0,8.0
3632,0,No,Clubs,Auditory,Male,Yes,61.0,16.0,15.0,20.0,98.0,8.0
3633,0,No,Clubs,Auditory,Female,Yes,93.0,18.0,15.0,6.0,94.0,8.0
3634,0,No,None,Auditory,Female,Yes,88.0,2.0,15.0,8.0,99.0,8.0
3635,1,No,Clubs,Auditory,Male,No,67.0,16.0,16.0,7.0,100.0,8.0
3636,0,No,None,Visual,Female,Yes,90.0,2.0,16.0,9.0,92.0,8.0
3637,0,No,Clubs,Visual,Male,Yes,77.0,24.0,15.0,9.0,98.0,8.0
3638,1,Yes,None,Visual,Male,Yes,100.0,17.0,15.0,7.0,96.0,8.0
3639,1,No,Clubs,Visual,Female,Yes,68.0,0.0,15.0,16.0,99.0,8.0
3640,2,No,Arts,Visual,Female,No,63.0,8.0,16.0,19.0,95.0,8.0
3641,0,No,None,Visual,Female,No,85.0,23.0,15.0,8.0,99.0,8.0
3642,0,No,Arts,Auditory,Male,Yes,54.0,11.0,16.0,11.0,93.0,8.0
3643,1,Yes,Sports,Auditory,Male,Yes,77.0,19.0,16.0,6.0,97.0,8.0
3644,0,Yes,None,Visual,Female,Yes,81.0,17.0,15.0,7.0,97.0,8.0
3646,2,No,None,Visual,Female,Yes,62.0,10.0,15.0,7.0,94.0,8.0
3647,0,No,Clubs,Visual,Male,No,65.0,13.0,16.0,14.0,91.0,8.0
3648,2,No,Arts,Auditory,Female,Yes,71.0,11.0,15.0,5.0,99.0,8.0
3649,0,No,Clubs,Auditory,Male,Yes,94.0,15.0,15.0,6.0,99.0,8.0
3650,2,Yes,Sports,Visual,Male,No,69.0,10.0,15.0,15.0,98.0,8.0
3651,1,Yes,Arts,Visual,Female,Yes,83.0,5.0,15.0,9.0,97.0,8.0
3652,2,No,Clubs,Auditory,Male,Yes,74.0,19.0,16.0,17.0,96.0,8.0
3653,0,No,None,Visual,Male,No,78.0,26.0,16.0,5.0,99.0,8.0
3654,1,No,Arts,Visual,Male,No,53.0,14.0,15.0,19.0,93.0,8.0
3655,1,No,Arts,Auditory,Female,Yes,62.0,20.0,16.0,20.0,95.0,8.0
3656,0,No,Clubs,Auditory,Male,No,63.0,19.0,16.0,11.0,99.0,8.0
3657,1,No,Sports,Auditory,Male,No,55.0,14.0,15.0,11.0,99.0,8.0
3658,1,No,Arts,Auditory,Female,Yes,58.0,21.0,15.0,16.0,93.0,8.0
3659,0,Yes,Sports,Auditory,Female,Yes,83.0,1.0,15.0,9.0,92.0,8.0
3660,0,No,Sports,Auditory,Male,Yes,71.0,15.0,16.0,5.0,95.0,8.0
3661,0,No,None,Auditory,Female,Yes,94.0,4.0,16.0,5.0,96.0,8.0
3662,2,No,Arts,Auditory,Female,Yes,45.0,15.0,16.0,1.0,96.0,8.0
3663,1,No,Sports,Auditory,Male,Yes,68.0,24.0,16.0,15.0,94.0,8.0
3664,0,No,Arts,Visual,Female,No,53.0,11.0,15.0,5.0,99.0,8.0
3665,1,No,Clubs,Auditory,Male,No,51.0,11.0,15.0,19.0,93.0,8.0
3666,0,Yes,None,Visual,Male,No,76.0,11.0,15.0,8.0,94.0,8.0
3667,1,Yes,ARTS,Auditory,Female,Yes,69.0,1.0,16.0,20.0,96.0,8.0
3669,2,No,Arts,Visual,Male,No,71.0,22.0,15.0,9.0,95.0,8.0
3670,0,No,None,Visual,Female,No,91.0,17.0,16.0,9.0,97.0,8.0
3671,2,No,Sports,Auditory,Female,Yes,58.0,1.0,15.0,6.0,92.0,7.0
3672,0,No,Clubs,Visual,Female,Yes,81.0,9.0,16.0,10.0,96.0,8.0
3673,2,No,Clubs,Auditory,Male,No,42.0,21.0,16.0,3.0,92.0,8.0
3674,2,No,Clubs,Visual,Female,Yes,59.0,8.0,15.0,19.0,91.0,8.0
3675,0,No,Arts,Auditory,Female,Yes,74.0,17.0,16.0,11.0,93.0,8.0
3676,2,No,Sports,Auditory,Male,Yes,53.0,14.0,16.0,6.0,91.0,8.0
3677,1,No,ARTS,Auditory,Female,No,62.0,18.0,15.0,17.0,93.0,8.0
3678,1,No,Clubs,Visual,Female,Yes,72.0,18.0,16.0,16.0,96.0,8.0
3679,1,Yes,None,Visual,Male,Yes,96.0,15.0,15.0,6.0,96.0,8.0
3680,0,No,None,Auditory,Male,No,67.0,18.0,15.0,20.0,94.0,8.0
3681,0,Yes,None,Auditory,Male,No,80.0,14.0,15.0,9.0,92.0,8.0
3682,2,No,Arts,Auditory,Female,Yes,62.0,15.0,15.0,19.0,96.0,8.0
3683,1,No,Sports,Auditory,Male,No,43.0,11.0,16.0,2.0,86.0,8.0
3684,1,No,Arts,Visual,Female,Yes,55.0,12.0,15.0,10.0,94.0,8.0
3685,0,No,Arts,Auditory,Female,Yes,65.0,7.0,16.0,14.0,91.0,7.0
3686,0,Yes,Clubs,Auditory,Male,Yes,76.0,14.0,16.0,6.0,93.0,8.0
3687,0,Yes,Clubs,Visual,Male,No,77.0,16.0,6.0,7.0,100.0,8.0
3688,1,No,Clubs,Auditory,Female,Yes,63.0,17.0,15.0,8.0,94.0,8.0
3689,1,No,Arts,Visual,Female,No,52.0,9.0,15.0,7.0,92.0,8.0
3690,0,No,Sports,Visual,Male,Yes,58.0,10.0,16.0,19.0,97.0,8.0
3691,1,Yes,None,Auditory,Female,Yes,72.0,14.0,16.0,17.0,97.0,8.0
3692,2,No,Arts,Auditory,Female,Yes,68.0,15.0,16.0,11.0,98.0,8.0
3694,2,No,None,Visual,Male,Yes,63.0,18.0,15.0,7.0,99.0,8.0
3696,0,No,Clubs,Auditory,Male,No,68.0,12.0,15.0,19.0,92.0,8.0
3697,1,No,Arts,Auditory,Female,No,51.0,5.0,15.0,9.0,92.0,8.0
3698,0,No,Arts,Visual,Female,Yes,79.0,11.0,16.0,9.0,98.0,8.0
3699,2,Yes,Clubs,Visual,Male,No,67.0,17.0,16.0,14.0,94.0,8.0
3700,1,No,Clubs,Visual,Male,Yes,67.0,13.0,15.0,5.0,99.0,8.0
3701,1,No,Clubs,Auditory,Male,No,55.0,16.0,15.0,16.0,98.0,8.0
3702,0,No,Arts,Auditory,Male,No,87.0,19.0,16.0,6.0,95.0,8.0
3703,2,No,Arts,Visual,Male,No,75.0,12.0,15.0,7.0,93.0,8.0
3704,1,No,Clubs,Auditory,Male,Yes,45.0,15.0,15.0,3.0,82.0,7.0
3705,1,No,Clubs,Auditory,Female,Yes,48.0,22.0,15.0,9.0,96.0,8.0
3706,1,No,Arts,Visual,Female,No,60.0,26.0,16.0,17.0,94.0,8.0
3707,1,Yes,Arts,Auditory,Male,Yes,48.0,23.0,16.0,4.0,62.0,5.0
3708,0,Yes,Sports,Visual,Female,Yes,85.0,16.0,5.0,6.0,95.0,8.0
3709,1,Yes,None,Auditory,Female,Yes,86.0,4.0,16.0,9.0,98.0,8.0
3710,1,No,Clubs,Visual,Male,Yes,70.0,12.0,16.0,15.0,97.0,8.0
3711,0,No,Clubs,Auditory,Male,No,66.0,18.0,16.0,6.0,93.0,8.0
3712,1,No,Arts,Auditory,Female,No,43.0,12.0,16.0,6.0,46.0,5.0
3713,1,Yes,None,Visual,Male,Yes,100.0,11.0,16.0,7.0,96.0,8.0
3714,1,No,Clubs,Visual,Male,No,49.0,28.0,16.0,6.0,99.0,8.0
3715,0,Yes,Sports,Visual,Female,Yes,85.0,6.0,15.0,6.0,93.0,7.0
3716,0,No,Clubs,Auditory,Male,Yes,91.0,23.0,16.0,6.0,98.0,8.0
3717,1,No,Arts,Auditory,Male,No,45.0,22.0,15.0,4.0,53.0,4.0
3718,0,No,Arts,Auditory,Male,No,61.0,23.0,15.0,19.0,98.0,8.0
3719,1,No,Sports,Auditory,Male,No,48.0,19.0,15.0,2.0,95.0,8.0
3720,1,No,Arts,Auditory,Female,No,46.0,19.0,16.0,14.0,56.0,4.0
3722,2,No,Sports,Auditory,Female,No,41.0,21.0,16.0,1.0,93.0,8.0
3723,2,No,None,Auditory,Female,No,62.0,1.0,16.0,18.0,92.0,8.0
3724,2,No,Arts,Visual,Male,Yes,79.0,13.0,16.0,6.0,99.0,8.0
3725,0,No,Sports,Visual,Male,No,79.0,18.0,15.0,7.0,99.0,8.0
3726,1,No,Sports,Auditory,Female,Yes,69.0,8.0,15.0,17.0,99.0,8.0
3727,2,No,Arts,Auditory,Male,Yes,58.0,20.0,16.0,20.0,91.0,8.0
3728,1,No,Arts,Auditory,Female,Yes,64.0,16.0,16.0,12.0,94.0,8.0
3729,2,Yes,Arts,Auditory,Male,No,45.0,17.0,16.0,5.0,94.0,8.0
3730,0,No,Clubs,Visual,Male,Yes,88.0,11.0,16.0,8.0,91.0,8.0
3731,0,No,Arts,Auditory,Male,No,79.0,10.0,16.0,6.0,99.0,8.0
3732,2,No,Arts,Auditory,Male,Yes,61.0,18.0,15.0,11.0,92.0,8.0
3733,0,No,None,Visual,Male,No,78.0,22.0,16.0,7.0,99.0,8.0
3735,0,No,None,Visual,Female,Yes,92.0,9.0,15.0,6.0,90.0,8.0
3736,0,No,Arts,Visual,Male,No,79.0,11.0,16.0,7.0,96.0,8.0
3737,1,No,Clubs,Auditory,Female,No,50.0,13.0,15.0,7.0,51.0,5.0
3738,0,Yes,Arts,Auditory,Female,No,72.0,17.0,15.0,9.0,94.0,8.0
3739,2,Yes,None,Visual,Female,No,73.0,13.0,16.0,18.0,95.0,8.0
3740,1,No,Sports,Auditory,Female,Yes,57.0,24.0,16.0,15.0,95.0,8.0
3741,2,No,Sports,Auditory,Female,Yes,58.0,16.0,16.0,13.0,93.0,8.0
3742,0,No,Clubs,Visual,Male,Yes,72.0,21.0,16.0,14.0,97.0,8.0
3743,1,No,CLUBS,Auditory,Female,No,58.0,20.0,15.0,11.0,100.0,8.0
3744,2,Yes,Clubs,Visual,Female,No,77.0,7.0,16.0,10.0,95.0,8.0
3745,0,No,Clubs,Visual,Female,No,67.0,6.0,16.0,6.0,99.0,8.0
3746,1,Yes,Clubs,Auditory,Female,No,49.0,11.0,15.0,11.0,94.0,8.0
3748,0,No,None,Visual,Male,No,90.0,19.0,16.0,8.0,96.0,8.0
3749,1,No,Sports,Auditory,Female,No,54.0,16.0,15.0,11.0,99.0,8.0
3750,0,No,Clubs,Auditory,Female,Yes,70.0,12.0,15.0,12.0,96.0,8.0
3751,1,No,Sports,Visual,Male,Yes,56.0,20.0,15.0,18.0,94.0,8.0
3753,1,No,None,Auditory,Male,Yes,60.0,16.0,15.0,5.0,95.0,8.0
3754,1,No,Clubs,Auditory,Female,No,50.0,17.0,16.0,6.0,94.0,8.0
3755,1,Yes,Arts,Visual,Male,Yes,94.0,18.0,16.0,7.0,95.0,8.0
3756,1,Yes,Clubs,Visual,Male,Yes,66.0,19.0,16.0,6.0,94.0,8.0
3757,0,No,Arts,Auditory,Male,Yes,74.0,19.0,15.0,13.0,95.0,8.0
3758,0,No,None,Visual,Male,Yes,95.0,12.0,16.0,5.0,92.0,8.0
3759,0,Yes,None,Visual,Male,Yes,78.0,15.0,15.0,8.0,94.0,8.0
3760,1,Yes,Arts,Visual,Female,Yes,91.0,9.0,15.0,5.0,97.0,8.0
3761,1,Yes,None,Visual,Male,Yes,91.0,17.0,16.0,7.0,91.0,8.0
3762,2,No,Clubs,Auditory,Male,No,49.0,11.0,16.0,8.0,93.0,8.0
3763,0,No,ARTS,Auditory,Male,Yes,92.0,23.0,16.0,9.0,94.0,8.0
3764,1,Yes,Clubs,Auditory,Male,No,48.0,18.0,16.0,9.0,93.0,8.0
3765,2,No,Arts,Auditory,Female,Yes,54.0,14.0,16.0,12.0,93.0,7.0
3766,0,No,None,Visual,Female,Yes,86.0,21.0,15.0,6.0,93.0,8.0
3767,0,No,None,Visual,Female,No,91.0,2.0,16.0,7.0,92.0,7.0
3768,2,No,Sports,Visual,Female,No,69.0,0.0,16.0,5.0,91.0,8.0
3770,0,Yes,None,Auditory,Female,No,80.0,14.0,15.0,9.0,91.0,8.0
3771,0,Yes,Sports,Visual,Male,No,74.0,15.0,15.0,7.0,96.0,8.0
3772,0,Yes,None,Auditory,Male,Yes,79.0,19.0,15.0,6.0,99.0,8.0
3773,0,No,None,Auditory,Male,Yes,94.0,17.0,16.0,7.0,96.0,8.0
3774,1,No,Clubs,Visual,Female,Yes,70.0,23.0,15.0,18.0,99.0,8.0
3775,1,Yes,Sports,Auditory,Male,Yes,67.0,21.0,16.0,20.0,91.0,8.0
3776,0,Yes,None,Auditory,Female,No,73.0,20.0,16.0,11.0,100.0,8.0
3777,1,No,Arts,Visual,Male,Yes,52.0,11.0,15.0,9.0,96.0,8.0
3778,1,No,None,Visual,Female,Yes,59.0,22.0,16.0,18.0,92.0,8.0
3779,2,No,Arts,Auditory,Female,Yes,58.0,20.0,15.0,10.0,97.0,8.0
3780,1,No,None,Visual,Male,Yes,72.0,16.0,15.0,16.0,96.0,8.0
3781,0,Yes,Sports,Visual,Female,Yes,84.0,12.0,16.0,7.0,97.0,8.0
3782,2,No,None,Auditory,Male,Yes,60.0,15.0,16.0,19.0,96.0,8.0
3783,0,No,None,Visual,Male,Yes,77.0,10.0,16.0,9.0,96.0,8.0
3784,2,No,None,Visual,Female,Yes,83.0,2.0,16.0,9.0,92.0,8.0
3785,1,Yes,None,Auditory,Male,No,79.0,12.0,16.0,8.0,96.0,8.0
3786,0,Yes,Arts,Auditory,Female,No,80.0,15.0,15.0,7.0,96.0,8.0
3787,1,Yes,Arts,Visual,Male,No,49.0,30.0,16.0,8.0,93.0,8.0
3788,2,No,None,Visual,Male,Yes,79.0,12.0,15.0,8.0,95.0,8.0
3789,1,No,None,Auditory,Female,No,64.0,26.0,16.0,17.0,98.0,8.0
3791,1,No,Sports,Visual,Female,Yes,56.0,8.0,16.0,19.0,90.0,8.0
3792,2,No,Sports,Auditory,Female,Yes,50.0,7.0,15.0,8.0,92.0,8.0
3793,2,Yes,Arts,Visual,Female,No,57.0,15.0,15.0,16.0,93.0,8.0
3794,2,No,None,Auditory,Male,Yes,73.0,19.0,16.0,12.0,97.0,8.0
3795,0,No,Clubs,Auditory,Male,Yes,68.0,20.0,16.0,16.0,97.0,8.0
3796,1,No,Clubs,Auditory,Female,No,62.0,24.0,16.0,16.0,91.0,8.0
3797,1,No,None,Auditory,Male,Yes,66.0,19.0,15.0,17.0,97.0,8.0
3798,1,Yes,None,Auditory,Male,Yes,73.0,15.0,16.0,15.0,97.0,8.0
3799,1,Yes,Clubs,Auditory,Male,No,78.0,14.0,16.0,9.0,92.0,8.0
3800,1,No,Sports,Auditory,Female,Yes,59.0,13.0,15.0,10.0,90.0,8.0
3801,1,No,Clubs,Auditory,Male,No,54.0,24.0,16.0,14.0,95.0,7.0
3802,1,No,Clubs,Auditory,Male,Yes,48.0,18.0,15.0,8.0,98.0,8.0
3803,2,Yes,Arts,Visual,Female,No,73.0,16.0,15.0,6.0,98.0,8.0
3804,1,Yes,Sports,Visual,Male,Yes,77.0,16.0,16.0,7.0,96.0,8.0
3805,2,Yes,None,Visual,Female,No,72.0,3.0,16.0,7.0,95.0,8.0
3806,1,Yes,None,Auditory,Male,Yes,85.0,19.0,15.0,10.0,96.0,8.0
3807,1,No,Sports,Auditory,Female,Yes,59.0,27.0,16.0,10.0,97.0,8.0
3808,1,Yes,Arts,Auditory,Male,Yes,73.0,13.0,15.0,8.0,93.0,8.0
3809,1,Yes,Clubs,Auditory,Male,No,49.0,25.0,16.0,2.0,92.0,8.0
3810,2,No,Sports,Auditory,Female,Yes,73.0,18.0,16.0,18.0,93.0,8.0
3811,1,Yes,None,Visual,Female,No,86.0,17.0,16.0,9.0,98.0,8.0
3812,1,No,Sports,Visual,Male,No,50.0,10.0,15.0,10.0,61.0,6.0
3813,0,No,Clubs,Auditory,Male,No,68.0,15.0,15.0,19.0,95.0,8.0
3814,1,Yes,Arts,Auditory,Female,No,69.0,12.0,15.0,19.0,96.0,8.0
3815,0,No,Arts,Auditory,Male,Yes,73.0,17.0,16.0,8.0,91.0,8.0
3816,2,No,Clubs,Visual,Female,Yes,78.0,0.0,15.0,5.0,97.0,8.0
3817,0,No,Sports,Auditory,Male,Yes,91.0,11.0,15.0,8.0,95.0,8.0
3818,1,Yes,Clubs,Visual,Female,No,49.0,14.0,15.0,1.0,76.0,7.0
3819,0,No,None,Visual,Male,Yes,80.0,21.0,15.0,6.0,93.0,8.0
3820,1,No,Arts,Auditory,Male,No,59.0,21.0,15.0,7.0,93.0,8.0
3821,1,No,Arts,Auditory,Male,No,55.0,14.0,15.0,13.0,97.0,8.0
3822,2,No,None,Auditory,Female,No,50.0,10.0,16.0,8.0,63.0,5.0
3823,1,No,Sports,Auditory,Male,No,39.0,17.0,16.0,15.0,94.0,8.0
3824,1,Yes,Clubs,Visual,Male,Yes,90.0,19.0,16.0,10.0,95.0,8.0
3825,1,Yes,Clubs,Auditory,Female,Yes,76.0,2.0,15.0,9.0,90.0,8.0
3826,0,No,Arts,Auditory,Male,No,65.0,14.0,16.0,13.0,98.0,8.0
3827,0,No,Arts,Auditory,Female,Yes,94.0,17.0,15.0,8.0,95.0,8.0
3828,1,No,Clubs,Visual,Female,No,52.0,2.0,16.0,12.0,93.0,8.0
3829,1,No,Sports,Auditory,Female,Yes,61.0,1.0,15.0,15.0,97.0,8.0
3830,2,No,CLUBS,Auditory,Male,No,42.0,14.0,15.0,10.0,95.0,8.0
3831,1,Yes,Sports,Auditory,Male,Yes,76.0,13.0,15.0,9.0,97.0,8.0
3832,1,Yes,None,Auditory,Female,Yes,84.0,15.0,16.0,8.0,94.0,8.0
3833,1,Yes,Sports,Auditory,Male,Yes,70.0,10.0,16.0,7.0,96.0,8.0
3834,1,No,Sports,Visual,Male,No,52.0,11.0,16.0,15.0,91.0,8.0
3835,1,No,Sports,Auditory,Female,Yes,52.0,16.0,16.0,13.0,99.0,8.0
3836,1,No,None,Auditory,Male,Yes,74.0,24.0,15.0,12.0,92.0,8.0
3837,1,No,None,Auditory,Female,Yes,64.0,12.0,15.0,10.0,93.0,8.0
3838,1,No,Clubs,Auditory,Female,Yes,68.0,15.0,16.0,7.0,95.0,8.0
3839,1,No,CLUBS,Visual,Male,Yes,59.0,23.0,15.0,9.0,98.0,8.0
3840,0,No,Clubs,Auditory,Female,Yes,58.0,19.0,16.0,19.0,90.0,8.0
3841,0,No,Arts,Auditory,Male,No,69.0,12.0,15.0,6.0,91.0,8.0
3842,1,No,Clubs,Visual,Male,No,52.0,12.0,15.0,18.0,99.0,8.0
3843,0,No,Clubs,Visual,Female,Yes,87.0,9.0,16.0,7.0,99.0,8.0
3845,0,No,Clubs,Auditory,Female,Yes,71.0,11.0,16.0,16.0,100.0,8.0
3846,0,Yes,Arts,Visual,Male,No,88.0,12.0,15.0,7.0,97.0,8.0
3847,1,No,Sports,Auditory,Male,Yes,71.0,19.0,15.0,6.0,91.0,8.0
3848,1,Yes,Arts,Auditory,Female,Yes,83.0,16.0,16.0,5.0,99.0,8.0
3849,1,No,Clubs,Auditory,Male,No,46.0,15.0,16.0,13.0,90.0,8.0
3850,1,No,None,Visual,Male,Yes,60.0,22.0,15.0,9.0,98.0,8.0
3851,0,Yes,Clubs,Visual,Female,No,70.0,3.0,16.0,9.0,92.0,8.0
3852,1,No,Clubs,Visual,Male,Yes,70.0,16.0,16.0,18.0,94.0,8.0
3853,0,Yes,Arts,Auditory,Male,No,75.0,15.0,16.0,16.0,99.0,8.0
3854,1,No,Clubs,Auditory,Female,No,45.0,1.0,16.0,0.0,97.0,8.0
3855,0,No,None,Auditory,Male,Yes,96.0,18.0,16.0,7.0,97.0,8.0
3856,0,No,Arts,Auditory,Male,Yes,73.0,14.0,15.0,9.0,99.0,8.0
3857,0,No,None,Auditory,Male,Yes,72.0,15.0,15.0,17.0,90.0,8.0
3858,1,No,Clubs,Auditory,Female,Yes,64.0,4.0,16.0,5.0,93.0,8.0
3859,1,No,Clubs,Auditory,Female,No,63.0,17.0,16.0,16.0,90.0,8.0
3860,1,Yes,Arts,Auditory,Male,Yes,66.0,17.0,5.0,5.0,93.0,8.0
3861,1,No,Sports,Auditory,Male,No,54.0,23.0,16.0,19.0,100.0,8.0
3862,1,Yes,Arts,Auditory,Female,Yes,80.0,18.0,16.0,6.0,93.0,8.0
3864,0,No,Arts,Visual,Female,No,49.0,16.0,15.0,13.0,93.0,8.0
3865,2,No,Clubs,Auditory,Male,Yes,62.0,20.0,15.0,13.0,95.0,8.0
3866,2,No,Clubs,Auditory,Male,No,51.0,20.0,15.0,15.0,92.0,8.0
3867,0,No,Sports,Auditory,Female,No,90.0,2.0,15.0,9.0,92.0,8.0
3868,1,No,Sports,Auditory,Male,No,54.0,28.0,15.0,11.0,94.0,8.0
3869,1,No,Sports,Auditory,Female,Yes,46.0,18.0,16.0,8.0,71.0,5.0
3870,2,Yes,Arts,Visual,Female,No,68.0,12.0,15.0,9.0,90.0,8.0
3871,1,No,None,Auditory,Male,Yes,64.0,10.0,16.0,11.0,95.0,8.0
3872,1,No,Sports,Visual,Female,No,46.0,29.0,15.0,11.0,97.0,8.0
3873,0,No,Clubs,Auditory,Female,No,64.0,6.0,15.0,7.0,99.0,8.0
3874,0,No,Clubs,Visual,Male,Yes,70.0,13.0,15.0,8.0,95.0,8.0
3875,0,Yes,None,Visual,Female,Yes,67.0,3.0,16.0,5.0,99.0,8.0
3876,2,No,None,Auditory,Female,Yes,43.0,6.0,15.0,3.0,92.0,8.0
3877,2,No,Sports,Auditory,Female,Yes,71.0,14.0,16.0,10.0,91.0,8.0
3878,0,No,None,Visual,Female,No,74.0,21.0,16.0,19.0,99.0,8.0
3879,1,No,Sports,Visual,Female,No,76.0,21.0,16.0,10.0,94.0,7.0
3880,2,Yes,ARTS,Auditory,Male,No,58.0,13.0,16.0,12.0,95.0,8.0
3882,2,No,Arts,Auditory,Female,No,62.0,13.0,16.0,10.0,91.0,8.0
3883,0,No,Sports,Auditory,Female,No,53.0,11.0,15.0,16.0,97.0,8.0
3884,0,No,Arts,Visual,Male,Yes,79.0,17.0,16.0,7.0,98.0,8.0
3885,1,Yes,None,Visual,Male,Yes,100.0,11.0,15.0,7.0,99.0,8.0
3886,1,No,Arts,Auditory,Male,No,48.0,21.0,15.0,5.0,91.0,8.0
3887,1,No,Arts,Auditory,Female,No,59.0,18.0,15.0,17.0,94.0,8.0
3888,0,No,Arts,Visual,Male,No,68.0,15.0,15.0,18.0,99.0,8.0
3889,0,No,Sports,Visual,Female,Yes,83.0,14.0,16.0,6.0,100.0,8.0
3890,0,No,None,Visual,Female,Yes,91.0,6.0,16.0,9.0,90.0,8.0
3891,0,Yes,Clubs,Visual,Female,No,79.0,3.0,16.0,6.0,94.0,7.0
3892,0,Yes,Arts,Visual,Male,No,81.0,16.0,16.0,9.0,91.0,8.0
3893,1,No,Clubs,Visual,Female,Yes,70.0,13.0,16.0,13.0,95.0,8.0
3894,0,No,Arts,Auditory,Male,No,69.0,11.0,15.0,15.0,95.0,8.0
3895,0,No,Arts,Visual,Male,Yes,59.0,12.0,15.0,13.0,93.0,8.0
3896,1,No,Sports,Visual,Male,Yes,58.0,24.0,15.0,9.0,97.0,8.0
3897,2,No,Arts,Auditory,Female,No,62.0,13.0,16.0,15.0,93.0,8.0
3898,0,No,Arts,Auditory,Female,Yes,66.0,16.0,16.0,13.0,94.0,8.0
3899,1,Yes,Clubs,Visual,Female,No,98.0,2.0,16.0,7.0,94.0,8.0
3900,1,Yes,Clubs,Auditory,Female,No,48.0,14.0,5.0,3.0,75.0,7.0
3901,1,Yes,Arts,Visual,Female,Yes,100.0,0.0,16.0,10.0,97.0,8.0
3902,0,No,Sports,Auditory,Female,Yes,94.0,1.0,16.0,9.0,97.0,8.0
3903,0,No,Sports,Auditory,Female,No,54.0,18.0,15.0,15.0,97.0,8.0
